id,identifier,name,type_id,damage_class_id,damage,energy,accuracy,summary,description,target,category
108,smokescreen,Smokescreen,1,3,,-1,100,Lowers the target's Accuracy by one stage.,"The user breathes out a thick cloud of smoke that hangs over the arena for several actions unless cleared, making it difficult for all within to see anything and for all without to see what is going on within.",Single,Projectile/Stat modifier (accuracy)
109,confuse-ray,Confuse Ray,14,3,,4,100,Confuses the target.,"The user mystifies the target with a glittering beam of dancing lights. The target becomes distracted and confused, mesmerized by the beautiful illusion.",Single,Projectile/Status (confusion)
110,withdraw,Withdraw,3,3,,1,,Raises the user's Defense by one stage.,"The user withdraws into its shell, increasing its resistance to physical blows.",Self,Stat modifier (defense)
111,defense-curl,Defense Curl,1,3,,1,,Raises the user's Defense by one stage.,The user curls into a ball in order to protect their weakest points so that their defense is slightly raised.,Self,Stat modifier (defense)
112,barrier,Barrier,11,3,,2,,Raises the user's Defense by two stages.,"The user generates a translucent wall of energy that greatly reduces the velocity of all solid objects that pass through it, thus greatly reducing the effectiveness of physical attacks used against the pokémon sheltering behind it. This barrier stays in place and cannot be moved, and it may be shattered by a particularly powerful physical strike.",Self,Stat modifier (defense)
113,light-screen,Light Screen,11,3,,-1,,Halves damage taken from special moves for five actions.,"The user focuses and creates a brilliant wall of light held in place by psychic energy. This screen scatters and disperses energy attacks made from the outside but allows those within to use such attacks without hindrance, thus greatly reducing the damage from special attacks sustained by the protected pokémon. It takes considerable concentration to keep the light screen up, so if the user is startled or otherwise distracted the screen may fizzle before it would ordinarily fade away.",Multiple,Special
114,haze,Haze,6,3,,3,,Removes all Pokémon's stat stages.  Lowers the accuracy of all moves by 10% for three actions.,"The pokémon spews a thick, dark fog from its mouth that quickly fills the field with clammy, choking haze. Haze dissipates slowly if not blown away, and upon its creation its clammy, creeping tendrils will cast a strange numbing effect over all caught within it, negating status changes both positive and negative while also significantly lowering visibility until it disperses.",Multiple,Stat modifier (all)
115,reflect,Reflect,11,3,,-1,,Halves damage taken from physical moves for five actions.,"The user sets up a dome of shining golden energy. The dome may reflect beam attacks that strike it at a certain angle and greatly reduce the momentum of any physical object passing through it, thus greatly reducing the damage dealt to those who shelter behind it by physical attacks. The reflect shield will fade after several actions and requires a small energy investment for each action it remains in order to keep it active.",Multiple,Special
116,focus-energy,Focus Energy,1,3,,5,,Raises the user's critical hit chance by two stages.,"The user concentrates and boosts its readiness for battle. This lowers the effect of moves that affect the mind (confusion, charm, etc.) and also helps to dispel illusions. Unless the focus is broken, the attacker, being more intensely aware of the battle, has a better chance of finding a foe's weak point and scoring a critical hit. The user's attacks are effectively made at two critical hit domains higher than usual after the use of this attack.",Self,Special
117,bide,Bide,1,1,-1,-1,,"Stores energy for three actions, then damages the target for twice the total damage taken.","The user braces itself for damage and stands firmly in one place, glowing a reddish color. Bide requires three consecutive actions to execute effectively. The energy associated with every damage-dealing attack the user endures is stored up throughout the round, then released at its end with twice the power in a massive wave of pure force.",Single,Contact/Priority 1
118,metronome,Metronome,1,3,,-1,,Randomly uses any move.,"The user waggles its fingers back and forth, teasing the threads of reality and summoning a random and totally unpredictable move that could either hurt or help either pokémon.",Random,Random
119,mirror-move,Mirror Move,10,3,,-1,,Uses the last move the target used.,"The user studies and emulates the last move used by the opponent, repeating it for a single action.",Single,Special
120,self-destruct,Self-Destruct,1,1,20,11,100,Knocks the user out.,"The user glows and releases its energy in an uncontrolled explosion, causing massive damage to any pokémon in the blast radius and knocking out the user. The amount of damage taken is largely dependent on how close a given pokémon to the one that selfdestructed.",All,Projectile
121,egg-bomb,Egg Bomb,1,1,10,5,75,Deals damage.  No other effect.,"The user chucks a glowing ball of energy at the opponent. Upon impact, the ball will explode, dealing decent damage and possibly knocking the foe back.",Single,Projectile
122,lick,Lick,14,1,3,3,100,Has a 30% chance to paralyze the target.,"The user extends its tongue and gives its opponent a huge, slimy lick. Chemical agents in the user's saliva cause this attack to have a chance at paralyzing the foe.",Single,Contact/Status (paralysis)
123,smog,Smog,8,2,3,3,70,Has a 40% chance to poison the target.,The user releases a noxious cloud of poisonous gas that may sicken those who inhale it.,Single,Projectile/Status (poison)
124,sludge,Sludge,8,2,6,4,100,Has a 30% chance to poison the target.,The user drenches the opponent with noxious sludge. The attack may poison the opponent on contact.,Single,Projectile/Status (poison)
125,bone-club,Bone Club,9,1,6,3,85,Deals damage.  No other effect.,The user smacks the target with a bone.,Single,Contact/Flinch (10%)
126,fire-blast,Fire Blast,2,2,11,7,85,Has a 10% chance to burn the target.,The user releases a large and powerful blast of fire in the shape of the kanji for fire. The blast keeps moving until it hits something and has a high chance of burning the opponent.,Single,Projectile/Status (burn)
127,waterfall,Waterfall,3,1,8,4,100,Has a 20% chance to make the target flinch.,The user surrounds itself in a swirling curtain of water and tackles the foe at high speed. This attack may also be used to climb waterfalls and has enough force to leave the target temporarily stunned.,Single,Contact/Flinch (20%)
128,clamp,Clamp,3,1,3,2,85,Traps the target and deals 1% damage after each action for 2-5 actions.,"The user grabs the opponent and then squeezes as hard as they can. Initially, there is little opportunity for the foe to escape this attack, but they may manage to work themselves free with time.",Single,Contact
129,swift,Swift,1,2,6,3,,Never misses.,"The user sends a multitude of pure-energy stars in every direction to pummel the foes, guaranteeing incredible accuracy.",Multiple,Projectile
